# Игровые гарнитуры и наушники — популярные модели и цены в рублях на 2025 год
# Цена ориентировочная, рассчитана из долларовой цены по курсу 1 USD = 77.2 RUB
# Формат: Бренд | Серия | Модель | Цена, RUB

SteelSeries | Arctis Nova | Arctis Nova Pro Wireless | 27 020
SteelSeries | Arctis Nova | Arctis Nova 7 Wireless | 13 896
SteelSeries | Arctis Nova | Arctis Nova 3 | 7 720
HyperX | Cloud | Cloud III Wireless | 11 580
HyperX | Cloud | Cloud Alpha Wireless | 10 036
Razer | BlackShark | BlackShark V2 Pro (2023) | 13 896
Razer | Kraken | Kraken V4 X | 6 948
Logitech | G Series | G Pro X 2 Lightspeed | 19 300
Logitech | G Series | G733 Lightspeed | 11 580
Corsair | HS Series | HS80 RGB Wireless | 11 580
Corsair | Void | Void RGB Elite | 6 948
Audeze | Maxwell | Maxwell Wireless | 23 083
Sony | INZONE | INZONE H9 | 21 616
EPOS | GSP | GSP 670 | 13 896
Beyerdynamic | MMX | MMX 300 (2nd Gen) | 20 072
Asus | ROG | ROG Delta S Wireless | 14 668
Cooler Master | CH Series | CH331 | 4 632
SteelSeries | Arctis | Arctis 1 Wireless | 7 720
